id_actividadæid_tipo_componenteæCom_Lubætipo_consumidoæcantidad_consumida
905778æ25æGæ1    æ73æ
905780æ25æGæ1    æ96æ
905786æ25æGæ1    æ56æ
905788æ25æGæ1    æ51æ
905789æ25æGæ1    æ63æ
905805æ25æGæ1    æ2.16æ
905814æ25æGæ1    æ43æ
905815æ25æGæ1    æ52æ
905816æ25æGæ1    æ76æ
905817æ25æGæ1    æ29æ
905819æ25æGæ1    æ43æ
905823æ25æGæ1    æ39æ
905828æ25æGæ1    æ37æ
905838æ25æGæ1    æ13æ
905839æ25æGæ1    æ10.83æ
905840æ25æGæ1    æ9.22æ
905843æ25æGæ1    æ12.6æ
905847æ25æGæ1    æ9.53æ
905848æ25æGæ1    æ7.31æ
905849æ25æGæ1    æ6.69æ
905851æ25æGæ1    æ6.92æ
905852æ25æGæ1    æ7.29æ
905853æ25æGæ1    æ12.32æ
905854æ25æGæ1    æ6.3æ
905855æ25æGæ1    æ11.7æ
905857æ25æGæ1    æ50.18æ
905858æ25æGæ1    æ62.17æ
905866æ25æGæ1    æ36.4æ
905872æ25æGæ1    æ63æ
905876æ25æGæ1    æ37.47æ
905884æ25æGæ1    æ52æ
905909æ25æGæ1    æ31æ
905914æ25æGæ1    æ68æ
905927æ25æGæ1    æ16.27æ
905929æ25æGæ1    æ9.75æ
905931æ25æGæ1    æ7.58æ
905932æ25æGæ1    æ9.5æ
905935æ25æGæ1    æ13æ
905936æ25æGæ1    æ11æ
905937æ25æGæ1    æ8.91æ
905938æ25æGæ1    æ4.56æ
905941æ25æGæ1    æ8æ
905942æ25æGæ1    æ7æ
905943æ25æGæ1    æ7æ
905944æ25æGæ1    æ9æ
905946æ25æGæ1    æ10æ
905948æ25æGæ1    æ8.1æ
905949æ25æGæ1    æ17.43æ
905950æ16æGæ1    æ8.88æ
905954æ25æGæ1    æ14.9æ
905955æ25æGæ1    æ9æ
905958æ25æGæ1    æ13.77æ
905961æ25æGæ1    æ14æ
905966æ25æGæ1    æ36æ
905976æ25æGæ1    æ20æ
905991æ25æGæ1    æ10æ
905992æ25æGæ1    æ15æ
906007æ25æGæ1    æ73.3æ
906008æ25æGæ1    æ59æ
906009æ25æGæ1    æ41æ
906016æ25æGæ1    æ118æ
906017æ25æGæ1    æ107æ
906018æ25æGæ1    æ70æ
906019æ25æGæ1    æ65æ
906020æ25æGæ1    æ45æ
906023æ25æGæ1    æ83.4æ
906025æ25æGæ1    æ62.3æ
906031æ25æGæ1    æ31æ
906033æ25æGæ1    æ44æ
906037æ25æGæ1    æ32æ
906040æ25æGæ1    æ44æ
906043æ25æGæ1    æ38æ
906232æ25æGæ1    æ37.73æ
906243æ25æGæ1    æ72æ
906245æ25æGæ1    æ69æ
906254æ25æGæ1    æ69æ
906256æ25æGæ1    æ78.5æ
906258æ25æGæ1    æ50æ
906259æ25æGæ1    æ44æ
906263æ25æGæ1    æ44æ
906266æ25æGæ1    æ63æ
906267æ25æGæ1    æ33.6æ
906270æ25æGæ1    æ52æ
906284æ25æGæ1    æ51æ
906292æ25æGæ1    æ82æ
906294æ25æGæ1    æ44.7æ
906296æ25æGæ1    æ57æ
906299æ25æGæ1    æ81.2æ
906317æ25æGæ1    æ13.676æ
906320æ25æGæ1    æ65æ
906321æ25æGæ1    æ49æ
906322æ25æGæ1    æ49æ
906325æ25æGæ1    æ27.19æ
906327æ25æGæ1    æ75æ
906330æ25æGæ1    æ38æ
906363æ25æGæ1    æ15æ
906400æ25æGæ1    æ131.26æ
906401æ25æGæ1    æ72.9æ
906447æ25æGæ1    æ41æ
906456æ25æGæ1    æ138æ
906460æ25æGæ1    æ76.5æ
906469æ25æGæ1    æ91æ
906476æ25æGæ1    æ72æ
906481æ25æGæ1    æ146æ
906485æ25æGæ1    æ74æ
906488æ25æGæ1    æ74.5æ
906491æ25æGæ1    æ57æ
906497æ25æGæ1    æ28æ
906499æ25æGæ1    æ70æ
906502æ25æGæ1    æ45æ
906507æ25æGæ1    æ52æ
906510æ25æGæ1    æ29æ
906517æ25æGæ1    æ40æ
906522æ25æGæ1    æ29æ
906529æ25æGæ1    æ48æ
906530æ25æGæ1    æ44æ
906534æ25æGæ1    æ65æ
906541æ25æGæ1    æ59æ
906557æ25æGæ1    æ60æ
906561æ25æGæ1    æ78.4æ
906562æ25æGæ1    æ65æ
906567æ25æGæ1    æ66æ
906574æ25æGæ1    æ68.7æ
906583æ25æGæ1    æ56æ
906585æ25æGæ1    æ106æ
906590æ25æGæ1    æ94æ
906591æ25æGæ1    æ46æ
906593æ25æGæ1    æ110æ
906595æ25æGæ1    æ84æ
906596æ25æGæ1    æ37æ
906597æ25æGæ1    æ23æ
906601æ25æGæ1    æ80æ
906604æ25æGæ1    æ92æ
906605æ25æGæ1    æ62æ
906608æ25æGæ1    æ95æ
906611æ25æGæ1    æ78æ
906613æ25æGæ1    æ88æ
906615æ25æGæ1    æ28æ
906616æ25æGæ1    æ99æ
906617æ25æGæ1    æ58.55æ
906621æ25æGæ1    æ56æ
906632æ25æGæ1    æ69æ
906634æ25æGæ1    æ41æ
906635æ25æGæ1    æ40æ
906636æ25æGæ1    æ105æ
906638æ25æGæ1    æ67æ
906650æ25æGæ1    æ70æ
906657æ25æGæ1    æ63æ
906658æ25æGæ1    æ130æ
906661æ25æGæ1    æ66æ
906662æ25æGæ1    æ64æ
906663æ25æGæ1    æ24æ
906667æ25æGæ1    æ54æ
906668æ25æGæ1    æ26æ
906700æ25æGæ1    æ63.32æ
906703æ25æGæ1    æ53æ
906706æ25æGæ1    æ65æ
906708æ25æGæ1    æ63æ
906710æ25æGæ1    æ58æ
906712æ25æGæ1    æ24æ
906714æ25æGæ1    æ37æ
906717æ25æGæ1    æ35æ
906719æ25æGæ1    æ35æ
906721æ25æGæ1    æ38æ
906722æ25æGæ1    æ30æ
906733æ25æGæ1    æ77æ
906735æ25æGæ1    æ23æ
906737æ25æGæ1    æ35æ
906739æ25æGæ1    æ26æ
906742æ25æGæ1    æ53æ
906745æ25æGæ1    æ33æ
906751æ25æGæ1    æ66æ
906752æ25æGæ1    æ37æ
906757æ25æGæ1    æ40æ
906759æ25æGæ1    æ34æ
906760æ25æGæ1    æ55æ
906769æ25æGæ1    æ12æ
906772æ25æGæ1    æ24.6æ
906773æ25æGæ1    æ43æ
906774æ25æGæ1    æ12æ
906777æ25æGæ1    æ42æ
906783æ25æGæ1    æ47æ
906786æ25æGæ1    æ18æ
906789æ25æGæ1    æ116æ
906790æ25æGæ1    æ21æ
906791æ25æGæ1    æ70æ
906793æ25æGæ1    æ60æ
906797æ25æGæ1    æ59æ
906799æ25æGæ1    æ33æ
906801æ25æGæ1    æ20æ
906802æ25æGæ1    æ60æ
906803æ25æGæ1    æ37æ
906805æ25æGæ1    æ70æ
906807æ25æGæ1    æ72æ
906808æ25æGæ1    æ66.74æ
906810æ25æGæ1    æ107æ
906816æ25æGæ1    æ75æ
906817æ25æGæ1    æ68æ
906820æ25æGæ1    æ33æ
906823æ25æGæ1    æ84æ
906826æ25æGæ1    æ37æ
906828æ25æGæ1    æ86æ
906830æ25æGæ1    æ57æ
906832æ25æGæ1    æ73æ
906836æ25æGæ1    æ81æ
906837æ25æGæ1    æ66æ
906838æ25æGæ1    æ22æ
906840æ25æGæ1    æ64æ
906841æ25æGæ1    æ26æ
906842æ25æGæ1    æ69æ
906844æ25æGæ1    æ58æ
906845æ25æGæ1    æ40æ
906848æ25æGæ1    æ38æ
906850æ25æGæ1    æ33æ
906852æ25æGæ1    æ22æ
906853æ25æGæ1    æ36æ
906855æ25æGæ1    æ36æ
906856æ25æGæ1    æ67æ
906858æ25æGæ1    æ65æ
906861æ25æGæ1    æ47æ
906862æ25æGæ1    æ52æ
906864æ25æGæ1    æ67æ
906865æ25æGæ1    æ64æ
906868æ25æGæ1    æ47æ
906871æ25æGæ1    æ49æ
906872æ25æGæ1    æ56æ
906877æ25æGæ1    æ42æ
906880æ25æGæ1    æ67æ
906882æ25æGæ1    æ109æ
906888æ25æGæ1    æ80æ
906892æ25æGæ1    æ91æ
906895æ25æGæ1    æ60æ
906903æ25æGæ1    æ74.5æ
906904æ25æGæ1    æ70æ
906910æ25æGæ1    æ15æ
906912æ25æGæ1    æ37æ
906914æ25æGæ1    æ31æ
906915æ25æGæ1    æ43æ
906916æ25æGæ1    æ30æ
906918æ25æGæ1    æ42æ
906921æ25æGæ1    æ25æ
906926æ25æGæ1    æ129æ
906927æ25æGæ1    æ71æ
906930æ25æGæ1    æ47æ
906931æ25æGæ1    æ52æ
906936æ25æGæ1    æ11æ
906937æ25æGæ1    æ50æ
906939æ25æGæ1    æ45æ
906940æ25æGæ1    æ67æ
906943æ25æGæ1    æ48æ
906944æ25æGæ1    æ22æ
906945æ25æGæ1    æ81æ
906950æ25æGæ1    æ75æ
906952æ25æGæ1    æ65æ
906953æ25æGæ1    æ10æ
906955æ25æGæ1    æ47æ
906969æ25æGæ1    æ73æ
906973æ25æGæ1    æ110æ
906975æ25æGæ1    æ47æ
906976æ25æGæ1    æ30æ
906977æ25æGæ1    æ60æ
906980æ25æGæ1    æ50æ
906985æ25æGæ1    æ57æ
906986æ25æGæ1    æ22æ
906988æ25æGæ1    æ22æ
906989æ25æGæ1    æ12æ
907006æ25æGæ1    æ16æ
907012æ25æGæ1    æ24æ
907013æ25æGæ1    æ20æ
907018æ25æGæ1    æ13æ
907022æ25æGæ1    æ12æ
907023æ25æGæ1    æ10æ
907041æ25æGæ1    æ11æ
907047æ25æGæ1    æ25æ
907049æ25æGæ1    æ20æ
907062æ25æGæ1    æ66æ
907089æ25æGæ1    æ76æ
907118æ25æGæ1    æ86æ
907123æ25æGæ1    æ36æ
907126æ25æGæ1    æ20æ
907129æ25æGæ1    æ15æ
907131æ25æGæ1    æ15æ
907134æ25æGæ1    æ23æ
907139æ25æGæ1    æ12æ
907146æ25æGæ1    æ10æ
907147æ25æGæ1    æ19æ
907179æ25æGæ1    æ33æ
907181æ25æGæ1    æ19æ
907186æ25æGæ1    æ9æ
907187æ25æGæ1    æ33æ
907192æ25æGæ1    æ26æ
907200æ25æGæ1    æ70æ
907202æ25æGæ1    æ21æ
907206æ25æGæ1    æ21æ
907220æ25æGæ1    æ30æ
